,exp,model,N_train,M,hidden_size,optimizer,mse,nll,config,init,outlier,time
0,,GP,100,,nan,,0.0139999356786,-0.688899280413,,default,,0.263133
0,,GP,50,,nan,,0.0288314098766,-0.392780067101,,default,,0.212142
0,,GP,250,,nan,,0.011819107587,-0.79760043552,,default,,0.509573
0,,SGP,250,25,nan,,0.0120453746003,-0.640344683522,,default,,0.93259
0,,GP,500,,nan,,0.0106507081322,-0.851433554214,,default,,1.590113
0,,GP,750,,nan,,0.0108310264363,-0.843708168461,,default,,4.812843
0,,GP,1000,,nan,,0.0107087639638,-0.849114373995,,default,,8.532095
0,,SGP,750,25,nan,,0.0119722330639,-0.77198218691,,default,,1.174448
0,,SGP,100,25,nan,,0.0194941895434,1.31361077732,,default,,6.316121
0,,SGP,1000,25,nan,,0.01118575861,-0.788934482296,,default,,1.585289
0,,SGP,50,25,nan,,0.0510644466888,0.397533193823,,default,,7.950436
0,,SGP,500,25,nan,,0.0109946277407,-0.771807329602,,default,,8.469325
0,,GP,1250,,nan,,0.0103660450475,-0.865535179598,,default,,16.804473
0,,SGP,1250,25,nan,,0.0108272999537,-0.815750929317,,default,,2.792563
0,,GP,750,,nan,,0.0104187445019,-0.863034134681,,default,,4.96955
0,,SGP,750,25,nan,,0.0113637358331,-0.780049271507,,default,,2.6831
0,,GP,100,,nan,,0.0155944007549,-0.657295931006,,default,,0.267282
0,,SGP,100,25,nan,,0.0234866999287,8.61846945903,,default,,9.736449
0,,GP,100,,nan,,0.0142052847348,-0.709956297945,,default,,0.297594
0,,SGP,100,25,nan,,0.0307227053271,1.3754225309,,default,,9.202187
0,,GP,50,,nan,,0.038014666031,-0.242869310659,,default,,0.204232
0,,GP,100,,nan,,0.0185343584236,-0.638764821117,,default,,0.305704
0,,GP,250,,nan,,0.0118402748681,-0.798250203566,,default,,0.52825
0,,GP,500,,nan,,0.0115381413244,-0.811997357992,,default,,1.680967
0,,SGP,500,25,nan,,0.0120234052753,-0.759348316844,,default,,1.619862
0,,GP,750,,nan,,0.0107367622609,-0.847987173453,,default,,4.995086
0,,GP,1000,,nan,,0.0105596685097,-0.855540864392,,default,,9.740243
0,,SGP,50,25,nan,,0.0683661385801,0.934689626562,,default,,7.820996
0,,SGP,100,25,nan,,0.0232200472647,0.265982721047,,default,,8.51905
0,,SGP,1000,25,nan,,0.010928779046,-0.786311582349,,default,,4.568452
0,,SGP,250,25,nan,,0.0128007908017,-0.609420522031,,default,,10.150123
0,,SGP,750,25,nan,,0.0116279021622,-0.773569404649,,default,,6.969532
0,,GP,1250,,nan,,0.0103714912973,-0.864794593939,,default,,16.892742
0,,SGP,1250,25,nan,,0.0297102886692,-0.678512618386,,default,,6.454861
0,,GP,50,,nan,,0.0363101694783,-0.351840672218,,default,,0.210003
0,,GP,100,,nan,,0.0191822538008,-0.528882703889,,default,,0.26278
0,,GP,250,,nan,,0.0113381975025,-0.821835526485,,default,,0.540572
0,,GP,500,,nan,,0.0107620737624,-0.847306190912,,default,,1.651408
0,,GP,750,,nan,,0.0102831880261,-0.868173169312,,default,,4.468074
0,,GP,1000,,nan,,0.0104894321079,-0.858686890002,,default,,8.553897
0,,SGP,50,35,nan,,0.053326055388,10.5953602763,,default,,8.867296
0,,SGP,100,35,nan,,0.0213708796171,0.0531770260423,,default,,9.245499
0,,SGP,250,35,nan,,0.0121781149925,-0.558271061902,,default,,11.341017
0,,SGP,500,35,nan,,0.0113370037693,-0.761005966821,,default,,13.404706
0,,GP,1250,,nan,,0.0103566810617,-0.864833744006,,default,,16.447275
0,,SGP,750,35,nan,,0.0105539527993,-0.819383539678,,default,,15.324374
0,,SGP,1000,35,nan,,0.0106430592935,-0.791846990353,,default,,17.400346
0,,SGP,1250,35,nan,,0.010389629074,-0.850292117951,,default,,14.031829
0,,GP,50,,nan,,0.0167470071014,-0.571057855951,,default,,0.187397
0,,GP,100,,nan,,0.0152556190943,-0.668545586878,,default,,0.26592
0,,GP,250,,nan,,0.0121090027105,-0.786633815199,,default,,0.501611
0,,GP,500,,nan,,0.0105160787578,-0.853400596743,,default,,1.81254
0,,GP,750,,nan,,0.0104517734614,-0.861360640383,,default,,4.913337
0,,GP,1000,,nan,,0.0107366651277,-0.848330428757,,default,,8.92541
0,,SGP,50,50,nan,,0.0242442656025,-0.27918397398,,default,,9.718563
0,,SGP,100,50,nan,,0.0140654181916,-0.527022267853,,default,,10.467306
0,,SGP,250,50,nan,,0.013368362302,-0.723671956782,,default,,12.945182
0,,SGP,500,50,nan,,0.0105778495595,-0.819792309446,,default,,16.391612
0,,GP,1250,,nan,,0.0103495614102,-0.866642615128,,default,,20.092162
0,,SGP,750,50,nan,,0.0104859373316,-0.83666689374,,default,,21.032636
0,,SGP,1000,50,nan,,0.0107918780839,-0.833274834362,,default,,26.779746
0,,SGP,1250,50,nan,,0.0102973667751,-0.856003799965,,default,,34.86202
