,exp,model,N_train,M,hidden_size,optimizer,mse,nll,outlier,outlier_var,time,bumps
0,DGP_4,SGP,50,25,nan,,0.560478679763,1.10804750128,,,14.752239,
0,DGP_4,SGP,100,25,nan,,0.421159891507,0.953999596564,,,20.258365,
0,DGP_4,SGP,250,25,nan,,0.346789724585,0.88916568173,,,59.488607,
0,DGP_4,SGP,500,25,nan,,0.286690418029,0.801349614547,,,27.15447,
0,DGP_4,SGP,750,25,nan,,0.294245965377,0.813304387845,,,47.286235,
0,DGP_4,SGP,1000,25,nan,,0.294640039739,0.809353647351,,,73.44124,
0,DGP_4,SGP,1250,25,nan,,0.295011350701,0.811339165618,,,35.54454,
