,exp,model,N_train,M,hidden_size,optimizer,mse,nll,outlier,outlier_var,time,bumps
0,DGP_4,GP,75,,nan,,0.342720819954,0.320631393855,,,0.521424,
0,DGP_4,GP,100,,nan,,0.147019448714,0.273224244528,,,0.487591,
0,DGP_4,GP,250,,nan,,0.966774981614,1.40494812454,,,1.569784,
0,DGP_4,GP,500,,nan,,0.00494951761846,-1.28028295976,,,1.900649,
0,DGP_4,GP,750,,nan,,0.00341941979487,-1.40666603803,,,6.6799,
0,DGP_4,GP,1000,,nan,,0.966774981614,1.4032167346,,,6.010368,
0,DGP_4,GP,1250,,nan,,0.966774981614,1.40693463045,,,14.297285,
