,exp,model,N_train,M,hidden_size,optimizer,mse,nll,config,init,outlier,time
0,,GP,250,,nan,,0.00960220173156,-1.02085171618,,default,,0.553724
0,,GP,500,,nan,,0.00386853003874,-1.39958274175,,default,,1.524037
0,,SGP,250,50,nan,,0.077741356109,0.301696628448,,default,,1.735409
0,,GP,750,,nan,,0.00301371796604,-1.48550650957,,default,,5.454126
0,,SGP,500,50,nan,,0.0446818606264,0.111791092331,,default,,2.850223
0,,SGP,750,50,nan,,0.075708411786,0.169050892666,,default,,1.855276
0,,GP,1000,,nan,,0.00280537686893,-1.52242950843,,default,,9.09451
0,,SGP,1000,50,nan,,0.0440976946962,-0.0519867250486,,default,,3.680627
0,,GP,1250,,nan,,0.00273452170782,-1.53509758743,,default,,16.876653
0,,SGP,1250,50,nan,,0.0483559631178,-0.0403200656262,,default,,3.538917
0,,GP,250,,nan,,0.0193971750224,-0.919374350255,,default,,0.587882
0,,GP,500,,nan,,0.00466501018529,-1.33813030369,,default,,1.618519
0,,SGP,250,40,nan,,0.136023021888,0.449897546287,,default,,1.469731
0,,SGP,500,40,nan,,0.101253314927,0.370649070782,,default,,1.540233
0,,GP,750,,nan,,0.00289256797782,-1.49631171522,,default,,4.972377
0,,GP,1000,,nan,,0.00271773162495,-1.5308002061,,default,,8.448019
0,,SGP,750,40,nan,,0.0793733794699,0.263242682274,,default,,2.02123
0,,SGP,1000,40,nan,,0.0600773763417,0.136154747678,,default,,2.44022
0,,GP,1250,,nan,,0.00265942603189,-1.5467074813,,default,,17.448547
0,,SGP,1250,40,nan,,0.0414000560823,0.0261171659499,,default,,2.784414
0,,GP,250,,nan,,0.00880544169543,-1.06661307502,,default,,0.495349
0,,SGP,250,30,nan,,0.315343232744,0.839308781606,,default,,0.547147
0,,GP,500,,nan,,0.00526644944017,-1.26411684579,,default,,1.423864
0,,SGP,500,30,nan,,0.285293945603,0.806545502935,,default,,1.286223
0,,GP,750,,nan,,0.00289310860982,-1.50200667283,,default,,4.583714
0,,SGP,750,30,nan,,0.0959835389772,0.38913342235,,default,,2.33839
0,,GP,1000,,nan,,0.00296415856847,-1.4995134184,,default,,9.402703
0,,SGP,1000,30,nan,,0.280297351383,0.78905430693,,default,,1.138131
0,,GP,1250,,nan,,0.00263960773707,-1.54913578154,,default,,17.805956
0,,SGP,1250,30,nan,,0.27893448991,0.786157536588,,default,,1.050951
0,,GP,250,,nan,,0.0187992026436,-0.93402065736,,default,,0.506781
0,,GP,500,,nan,,0.00671658757076,-1.36712723789,,default,,1.469195
0,,SGP,500,25,nan,,0.294869423254,0.800715486158,,default,,0.787992
0,,SGP,250,25,nan,,0.280155753807,0.807467436643,,default,,1.15378
0,,GP,750,,nan,,0.00297810633125,-1.48400166854,,default,,4.682793
0,,SGP,750,25,nan,,0.283733188205,0.796480252658,,default,,1.329091
0,,GP,1000,,nan,,0.00277973093855,-1.51961735929,,default,,9.453244
0,,SGP,1000,25,nan,,0.282891876978,0.79611584619,,default,,0.766632
0,,GP,1250,,nan,,0.00265041257958,-1.54905333122,,default,,19.850355
0,,SGP,1250,25,nan,,0.285374591182,0.792379088997,,default,,1.095795
0,,GP,250,,nan,,0.0259432100629,-0.957940095592,,default,,0.661237
0,,GP,500,,nan,,0.0037802651366,-1.39840486877,,default,,1.896603
0,,SGP,500,60,nan,,0.0399685326728,-0.0926352760254,,default,,1.889524
0,,SGP,250,60,nan,,0.08007944579,0.185291161784,,default,,2.869218
0,,GP,750,,nan,,0.00302896255597,-1.47233579242,,default,,5.968427
0,,GP,1000,,nan,,0.00283325417217,-1.51735056415,,default,,9.301728
0,,SGP,750,60,nan,,0.0339063629178,-0.183024485152,,default,,2.415287
0,,SGP,1000,60,nan,,0.0402130652549,-0.177077822056,,default,,3.314611
0,,GP,1250,,nan,,0.00257317976063,-1.55922923701,,default,,18.134575
0,,SGP,1250,60,nan,,0.061349496539,0.0486895343981,,default,,4.650478
