,exp,model,N_train,M,hidden_size,optimizer,mse,nll,config,init,outlier,time
0,,DGP,750,50,[2],adam_Mxit1500,0.179673412922,0.140124287864,0.226,long_short,,300.80179
0,,DGP,500,50,[2],adam_Mxit1500,0.167006393306,0.362489563436,0.3,long_short,,300.313949
0,,DGP,250,50,[2],adam_Mxit1500,0.187101003235,0.584155755796,0.411,long_short,,300.275712
0,,DGP,1000,50,[2],adam_Mxit1500,0.113789837544,0.0809677571464,0.22,long_short,,300.980856
0,,DGP,1250,50,[2],adam_Mxit1500,0.205521406244,0.494266964404,0.354,long_short,,301.553253
