,exp,model,N_train,M,hidden_size,optimizer,mse,nll,outlier,outlier_var,time,bumps
0,DGP_5,SGP,50,50,nan,,0.847429780507,1.34099146191,,,26.7329,
0,DGP_5,SGP,100,50,nan,,0.828450023449,1.32493428194,,,15.187413,
0,DGP_5,SGP,250,50,nan,,0.143694698732,0.447205367519,,,142.011635,
0,DGP_5,SGP,500,50,nan,,0.0999622793761,0.296465584448,,,114.925298,
0,DGP_5,SGP,750,50,nan,,0.0789445352366,0.219119131693,,,187.114264,
0,DGP_5,SGP,1000,50,nan,,0.0609961865138,0.0999447237276,,,362.932969,
0,DGP_5,SGP,1250,50,nan,,0.054968073038,0.0389893435701,,,258.271916,
