,exp,model,N_train,M,hidden_size,optimizer,mse,nll,outlier,outlier_var,time,bumps
0,DGP_5,SGP,50,25,nan,,0.847428866314,1.34099078568,,,8.501829,
0,DGP_5,SGP,100,25,nan,,0.550757523373,1.12053646851,,,39.656899,
0,DGP_5,SGP,250,25,nan,,0.243260280525,0.79948971788,,,65.980657,
0,DGP_5,SGP,500,25,nan,,0.290776908823,0.804696532256,,,58.882328,
0,DGP_5,SGP,750,25,nan,,0.17100736046,0.620461078422,,,53.960708,
0,DGP_5,SGP,1000,25,nan,,0.258758903948,0.757216399729,,,84.168587,
0,DGP_5,SGP,1250,25,nan,,0.206257725053,0.622160025656,,,80.215846,
