,exp,model,N_train,M,hidden_size,optimizer,mse,nll,outlier,outlier_var,time,bumps
0,DGP_5,GP,75,,nan,,0.563924388376,1.16576589576,,,0.572402,
0,DGP_5,GP,100,,nan,,0.823548199839,1.3258104932,,,0.447475,
0,DGP_5,GP,250,,nan,,0.0472642325061,-0.547046359422,,,0.854813,
0,DGP_5,GP,500,,nan,,0.00641159214164,-1.11649073226,,,3.319864,
0,DGP_5,GP,750,,nan,,0.00510692507689,-1.23204928133,,,5.907959,
0,DGP_5,GP,1000,,nan,,0.00545558167078,-1.17064621497,,,11.997963,
0,DGP_5,GP,1250,,nan,,0.847429782002,1.33625526411,,,17.814305,
