,exp,model,N_train,M,hidden_size,optimizer,mse,nll,outlier,outlier_var,time,bumps
0,DGP_2,DGP,50,25,[2],adam,0.537458105851,1.10114409577,,,412.694695,
0,DGP_2,DGP,100,25,[2],adam,0.542907159684,1.05395256021,,,627.889504,
0,DGP_2,DGP,250,25,[2],adam,0.528275059277,1.08941729718,,,854.462337,
0,DGP_2,DGP,500,25,[2],L-BFGS-B,0.395948764388,0.218374541368,,,37.418865,
0,DGP_2,DGP,750,25,[2],adam,0.23528075999,0.534563722104,,,22.559148,
0,DGP_2,DGP,1000,25,[2],adam,0.241865283569,0.598638426024,,,21.02725,
0,DGP_2,DGP,1250,25,[2],adam,0.237898199084,0.608648072941,,,759.851288,
