,exp,model,N_train,M,hidden_size,optimizer,mse,nll,outlier,outlier_var,time,bumps
0,DGP_2,DGP,50,50,[2],adam,0.520624677581,1.1339087377,,,4344.297561,
0,DGP_2,DGP,100,50,[2],adam,0.562016137807,1.1115572143,,,4627.383123,
0,DGP_2,DGP,250,50,[2],adam,0.459110035996,1.00304952358,,,5646.195371,
0,DGP_2,DGP,500,50,[2],adam,0.211292734073,0.385012561442,,,5513.665485,
0,DGP_2,DGP,750,50,[2],adam,0.201133925323,0.357507669447,,,5408.551406,
0,DGP_2,DGP,750,50,[2],adam,0.18148257134,0.393230591238,,,145.316085,
0,DGP_2,DGP,1000,50,[2],adam,0.157172026432,0.205950312835,,,143.64289,
0,DGP_2,DGP,1250,50,[2],adam,0.16250687427,0.308109336975,,,145.544909,

