,exp,model,N_train,M,hidden_size,optimizer,mse,nll,outlier,outlier_var,time,bumps
0,DGP_3,DGP,50,50,[2],adam,0.655277233618,1.48363611636,True,0.5175647119016904,2974.117025,
0,DGP_3,DGP,100,50,[2],adam,0.345088505824,0.78030648605,,,3189.932523,
0,DGP_3,DGP,250,50,[2],adam,0.139919497405,0.324801863168,True,0.3009318154191895,3651.795605,
0,DGP_3,DGP,500,50,[2],adam,0.151576830895,0.200151419296,,,123.490647,
0,DGP_3,DGP,750,50,[2],adam,0.0733434497939,-0.00994815795001,True,0.06563276351971924,3692.994139,
0,DGP_3,DGP,1000,50,[2],L-BFGS-B,0.217420323413,-0.0173386125568,,,495.594366,
0,DGP_3,DGP,1250,50,[2],adam,0.171422249936,0.14478699091,,,120.11258,
