,exp,model,N_train,M,hidden_size,optimizer,mse,nll,outlier,outlier_var,time,bumps
0,DGP_3,SGP,50,25,nan,,0.694476259402,1.41349273763,,,59.456406,
0,DGP_3,SGP,100,25,nan,,0.41081301345,0.988262845223,,,106.404801,
0,DGP_3,SGP,250,25,nan,,0.238871297094,0.745009994648,,,68.622728,
0,DGP_3,SGP,500,25,nan,,0.180750947589,0.612832115814,,,30.539554,
0,DGP_3,SGP,750,25,nan,,0.153127252891,0.512982429833,,,45.4891,
0,DGP_3,SGP,1000,25,nan,,0.173999504813,0.580520562306,,,101.927839,
0,DGP_3,SGP,1250,25,nan,,0.171291140416,0.543866623077,,,78.713432,
