,exp,model,N_train,M,hidden_size,optimizer,mse,nll,outlier,outlier_var,time,bumps
0,DGP_1,SGP,50,50,nan,,0.620635208477,1.27129822172,,,138.308748,
0,DGP_1,SGP,100,50,nan,,0.41715762936,0.961191012759,,,505.690191,
0,DGP_1,SGP,250,50,nan,,0.178625718614,0.536486899766,,,97.730153,
0,DGP_1,SGP,500,50,nan,,0.263550264533,0.756236410638,,,17.900497,
0,DGP_1,SGP,750,50,nan,,0.11435400327,0.327409290597,,,159.978727,
0,DGP_1,SGP,1000,50,nan,,0.0950879177953,0.241362891213,,,309.306138,
0,DGP_1,SGP,1250,50,nan,,0.0718164835864,0.126955961648,,,260.071104,
